steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s,beats_all_fixed
1010000,Medium,219657,20230167.0,45672431.0,55.7,34228262.0,40.9,29341884.0,31.1,True
1020000,High,563047,59674325.0,121048802.0,50.7,78839542.0,24.3,62834392.0,5.0,True
1030000,Low,801053,50477327.0,13952700.0,-261.8,8286942.0,-509.1,4488695.0,-1024.5,False
1040000,Medium,606481,73312229.0,46139872.0,-58.9,33031806.0,-121.9,26386372.0,-177.8,False
1050000,High,683750,175192207.0,131403208.0,-33.3,83762438.0,-109.2,68990322.0,-153.9,False
1060000,Low,544381,47852293.0,13078488.0,-265.9,5542353.0,-763.4,4286625.0,-1016.3,False
1070000,Medium,575130,939358179.0,47019142.0,-1897.8,31642243.0,-2868.7,24444493.0,-3742.8,False
1080000,High,779698,216555677.0,129085656.0,-67.8,82033287.0,-164.0,66113483.0,-227.6,False
1090000,Low,627069,912633435.0,11482492.0,-7848.0,2920439.0,-31149.9,3560871.0,-25529.5,False
1100000,Medium,32029,104396275.0,43886003.0,-137.9,34570061.0,-202.0,30459307.0,-242.7,False
1110000,High,337993,201806688.0,130902487.0,-54.2,81020677.0,-149.1,65502551.0,-208.1,False
1120000,Low,465574,56399474.0,12291388.0,-358.9,7724185.0,-630.2,5750964.0,-880.7,False
1130000,Medium,299711,71980323.0,46478359.0,-54.9,34234415.0,-110.3,29039945.0,-147.9,False
1140000,High,342841,174459680.0,125050855.0,-39.5,81171818.0,-114.9,66747147.0,-161.4,False
1150000,Low,664034,45611925.0,16633553.0,-174.2,7605620.0,-499.7,4867316.0,-837.1,False
1160000,Medium,294074,98308645.0,49197853.0,-99.8,34033549.0,-188.9,28021786.0,-250.8,False
1170000,High,196710,199881858.0,116260190.0,-71.9,78031740.0,-156.2,64876810.0,-208.1,False
1180000,Low,883455,43763713.0,13481820.0,-224.6,8855185.0,-394.2,6146257.0,-612.0,False
1190000,Medium,501797,117064183.0,47203155.0,-148.0,36136898.0,-223.9,31701398.0,-269.3,False
1200000,High,791776,176099072.0,123947003.0,-42.1,78738491.0,-123.7,63938950.0,-175.4,False
1210000,Low,454293,38485747.0,13708180.0,-180.8,8071222.0,-376.8,6251079.0,-515.7,False
1220000,Medium,694631,77787963.0,44708721.0,-74.0,32015490.0,-143.0,23688102.0,-228.4,False
1230000,High,756387,125911908.0,124992941.0,-0.7,78014936.0,-61.4,64338713.0,-95.7,False
1240000,Low,81372,10218235.0,14887008.0,31.4,7751137.0,-31.8,4407244.0,-131.9,False
1250000,Medium,77062,17916956.0,53018321.0,66.2,36800734.0,51.3,30853159.0,41.9,True
1260000,High,459111,67309701.0,124639499.0,46.0,82459731.0,18.4,63509795.0,-6.0,False
1270000,Low,22142,6167205.0,14045296.0,56.1,10098607.0,38.9,7132690.0,13.5,True
1280000,Medium,287986,20090181.0,46970455.0,57.2,32811947.0,38.8,24987682.0,19.6,True
1290000,High,546354,64921210.0,124559026.0,47.9,83607084.0,22.3,67388579.0,3.7,True
