model,scenario,seed,total_wait,arrived,switches
ck510000,High,42,238966070.0,1766,546
ck510000,High,123,229948071.0,1722,524
ck510000,Medium,42,944793693.0,864,489
ck530000,Low,42,927760466.0,557,490
ck530000,Medium,123,128530847.0,1010,318
ck530000,Low,123,919084797.0,615,498
ck530000,Medium,42,941865385.0,875,495
ck530000,High,42,241052618.0,1778,552
ck530000,High,123,231144127.0,1767,533
ck550000,Low,42,927680060.0,607,493
ck550000,Low,123,919195530.0,589,500
ck550000,Medium,42,938961315.0,931,508
ck550000,Medium,123,925747158.0,836,521
ck570000,Low,42,927680060.0,607,493
ck550000,High,42,965562710.0,1444,499
ck550000,High,123,960702817.0,1393,511
ck570000,Low,123,919300247.0,564,499
ck570000,Medium,42,939351501.0,898,505
ck570000,Medium,123,922015721.0,860,529
ck590000,Low,42,927680060.0,607,493
ck570000,High,42,965050685.0,1480,509
ck570000,High,123,963015901.0,1434,506
ck590000,Medium,123,128400474.0,1018,320
ck590000,Low,123,919300247.0,564,499
ck590000,Medium,42,939382871.0,926,505
ck590000,High,42,965562710.0,1444,499
ck590000,High,123,963986185.0,1437,500
ck610000,Low,42,927760466.0,557,490
ck630000,Low,42,51120200.0,683,143
ck610000,Medium,123,103738274.0,994,261
ck610000,Low,123,919086147.0,552,495
ck610000,High,42,238966070.0,1766,546
ck610000,High,123,231371873.0,1728,543
ck610000,Medium,42,944793693.0,864,489
ck630000,Medium,123,89149174.0,1036,209
ck650000,Low,42,40783488.0,666,102
ck630000,Medium,42,98955228.0,1101,216
ck650000,Low,123,34941160.0,680,89
ck630000,Low,123,919086147.0,552,495
ck650000,Medium,42,64086234.0,1061,106
ck650000,Medium,123,63994347.0,1023,104
ck630000,High,123,204254489.0,1714,421
ck670000,Low,123,34997103.0,702,88
ck670000,Low,42,42388218.0,666,94
ck670000,Medium,42,64448053.0,1066,103
ck650000,High,42,116719709.0,1793,160
ck630000,High,42,957071245.0,1456,471
ck670000,Medium,123,64150305.0,995,98
ck650000,High,123,109774344.0,1617,138
ck690000,Low,42,42291510.0,675,91
ck690000,Low,123,38246046.0,695,85
ck670000,High,123,109626865.0,1726,135
ck670000,High,42,116443688.0,1777,140
ck690000,Medium,42,63768905.0,1051,101
ck690000,Medium,123,64150305.0,995,98
ck710000,Low,42,42291510.0,675,91
ck710000,Low,123,38246046.0,695,85
ck690000,High,42,115434100.0,1718,138
ck710000,Medium,42,61257448.0,1086,100
ck690000,High,123,109131720.0,1748,135
ck710000,Medium,123,64150305.0,995,98
ck730000,Low,42,47727327.0,708,131
ck730000,Low,123,38690188.0,691,129
ck730000,Medium,42,59156184.0,1060,108
ck730000,Medium,123,56208003.0,980,99
ck710000,High,123,109640748.0,1716,135
ck710000,High,42,114872515.0,1714,137
ck750000,Low,42,42326073.0,705,108
ck750000,Low,123,38690188.0,691,129
ck750000,Medium,42,59198765.0,1022,109
ck730000,High,123,109660654.0,1625,138
ck730000,High,42,118810881.0,1780,142
ck750000,Medium,123,55599300.0,1016,99
ck770000,Low,123,39250104.0,670,124
ck770000,Low,42,51151722.0,684,146
ck750000,High,123,109660654.0,1625,138
ck750000,High,42,118810881.0,1780,142
ck770000,Medium,42,83356541.0,1073,196
ck770000,Medium,123,74810625.0,955,184
ck790000,Low,123,9014419.0,660,84
ck790000,Low,42,24769092.0,707,97
ck790000,Medium,42,36969863.0,1045,87
ck790000,Medium,123,39705533.0,1015,86
ck770000,High,42,172831897.0,1705,308
ck770000,High,123,168820000.0,1739,298
ck810000,Low,42,54017313.0,685,129
ck810000,Low,123,51911096.0,681,125
ck810000,Medium,42,49559191.0,1058,144
ck810000,Medium,123,48721190.0,970,142
ck790000,High,123,103591211.0,1723,129
ck790000,High,42,109435675.0,1695,132
ck830000,Low,42,17167561.0,677,119
ck830000,Low,123,16500319.0,709,96
ck830000,Medium,42,35271729.0,1031,85
ck830000,Medium,123,36706452.0,1031,86
ck810000,High,123,149893855.0,1698,216
ck810000,High,42,165705048.0,1772,278
ck850000,Low,42,15260926.0,714,81
ck850000,Low,123,8225279.0,685,79
ck830000,High,123,101866248.0,1719,126
ck830000,High,42,111194609.0,1722,131
ck850000,Medium,42,37313815.0,1102,84
ck850000,Medium,123,43733263.0,996,86
ck870000,Low,42,7762977.0,685,73
ck870000,Low,123,5763749.0,712,71
ck870000,Medium,123,16889559.0,1015,75
ck870000,Medium,42,17581451.0,1042,74
ck850000,High,123,100671465.0,1688,126
ck850000,High,42,107986639.0,1748,131
ck890000,Low,42,4109577.0,690,59
ck890000,Low,123,3719510.0,643,60
ck890000,Medium,123,20747623.0,1060,68
ck890000,Medium,42,28983200.0,1080,67
ck870000,High,123,85098382.0,1631,110
ck870000,High,42,104854196.0,1768,127
ck910000,Low,42,4071449.0,694,61
ck910000,Low,123,3835228.0,684,61
ck890000,High,123,59341293.0,1681,92
ck890000,High,42,65730201.0,1739,93
ck910000,Medium,123,20747623.0,1060,68
ck910000,Medium,42,28368436.0,1083,68
ck930000,Low,42,3946818.0,729,63
ck930000,Low,123,3956744.0,672,68
ck930000,Medium,123,20747623.0,1060,68
ck930000,Medium,42,28368436.0,1083,68
ck910000,High,123,59341293.0,1681,92
ck910000,High,42,63582294.0,1720,93
ck950000,Low,42,3946818.0,729,63
ck950000,Low,123,3489236.0,706,64
ck930000,High,123,59515439.0,1714,92
ck930000,High,42,63582294.0,1720,93
ck950000,Medium,123,20747623.0,1060,68
ck950000,Medium,42,28368436.0,1083,68
ck970000,Low,42,6803305.0,684,74
ck970000,Low,123,5338698.0,701,71
ck970000,Medium,123,19897727.0,1013,68
ck970000,Medium,42,26624288.0,1107,70
ck950000,High,123,59515439.0,1714,92
ck950000,High,42,63582294.0,1720,93
ck990000,Low,42,4147468.0,653,68
ck990000,Low,123,4166192.0,680,69
ck970000,High,123,59515439.0,1714,92
ck990000,Medium,123,20747623.0,1060,68
ck970000,High,42,67804909.0,1788,105
ck990000,Medium,42,27293263.0,1094,68
ck1010000,Low,42,7728609.0,720,80
ck1010000,Low,123,6832464.0,683,77
ck1010000,Medium,42,18961058.0,1071,71
ck1010000,Medium,123,16433782.0,1002,73
ck990000,High,123,59515439.0,1714,92
ck990000,High,42,63837136.0,1732,95
ck1030000,Low,123,48691070.0,655,115
ck1030000,Low,42,55175046.0,676,132
ck1030000,Medium,42,55138485.0,1050,138
ck1030000,Medium,123,61823860.0,987,159
