steps,scenario,total_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
2130000,High,139784157.5,130514182.0,-7.1,82248234.5,-70.0,64791811.5,-115.7
2150000,High,189148169.0,130514182.0,-44.9,82248234.5,-130.0,64791811.5,-191.9
2170000,High,517427486.5,130514182.0,-296.5,82248234.5,-529.1,64791811.5,-698.6
2190000,High,960524403.5,130514182.0,-636.0,82248234.5,-1067.8,64791811.5,-1382.5
2210000,High,985429112.5,130514182.0,-655.0,82248234.5,-1098.1,64791811.5,-1420.9
2230000,High,152459530.0,130514182.0,-16.8,82248234.5,-85.4,64791811.5,-135.3
2250000,High,149657344.5,130514182.0,-14.7,82248234.5,-82.0,64791811.5,-131.0
2270000,High,147214438.0,130514182.0,-12.8,82248234.5,-79.0,64791811.5,-127.2
2290000,High,145721305.0,130514182.0,-11.7,82248234.5,-77.2,64791811.5,-124.9
2310000,High,146851988.0,130514182.0,-12.5,82248234.5,-78.5,64791811.5,-126.7
2330000,High,144253520.5,130514182.0,-10.5,82248234.5,-75.4,64791811.5,-122.6
2350000,High,144755351.5,130514182.0,-10.9,82248234.5,-76.0,64791811.5,-123.4
2370000,High,143582988.5,130514182.0,-10.0,82248234.5,-74.6,64791811.5,-121.6
2390000,High,137884953.0,130514182.0,-5.6,82248234.5,-67.6,64791811.5,-112.8
2410000,High,125958517.0,130514182.0,3.5,82248234.5,-53.1,64791811.5,-94.4
2430000,High,124517655.0,130514182.0,4.6,82248234.5,-51.4,64791811.5,-92.2
2450000,High,124517655.0,130514182.0,4.6,82248234.5,-51.4,64791811.5,-92.2
2470000,High,143513196.0,130514182.0,-10.0,82248234.5,-74.5,64791811.5,-121.5
2490000,High,988333178.5,130514182.0,-657.3,82248234.5,-1101.6,64791811.5,-1425.4
2510000,High,990781409.5,130514182.0,-659.1,82248234.5,-1104.6,64791811.5,-1429.2
2530000,High,989849076.5,130514182.0,-658.4,82248234.5,-1103.5,64791811.5,-1427.7
2550000,High,988858821.0,130514182.0,-657.7,82248234.5,-1102.3,64791811.5,-1426.2
2570000,High,974782180.5,130514182.0,-646.9,82248234.5,-1085.2,64791811.5,-1404.5
2590000,High,588076583.0,130514182.0,-350.6,82248234.5,-615.0,64791811.5,-807.6
2610000,High,180485948.0,130514182.0,-38.3,82248234.5,-119.4,64791811.5,-178.6
2630000,High,146911190.5,130514182.0,-12.6,82248234.5,-78.6,64791811.5,-126.7
2650000,High,130766269.0,130514182.0,-0.2,82248234.5,-59.0,64791811.5,-101.8
2670000,High,130766269.0,130514182.0,-0.2,82248234.5,-59.0,64791811.5,-101.8
2690000,High,130381080.5,130514182.0,0.1,82248234.5,-58.5,64791811.5,-101.2
2710000,High,129213529.5,130514182.0,1.0,82248234.5,-57.1,64791811.5,-99.4
2730000,High,123176368.0,130514182.0,5.6,82248234.5,-49.8,64791811.5,-90.1
2750000,High,129352751.5,130514182.0,0.9,82248234.5,-57.3,64791811.5,-99.6
2770000,High,121718689.0,130514182.0,6.7,82248234.5,-48.0,64791811.5,-87.9
2790000,High,61515940.0,130514182.0,52.9,82248234.5,25.2,64791811.5,5.1
2810000,High,61548866.5,130514182.0,52.8,82248234.5,25.2,64791811.5,5.0
2830000,High,61515940.0,130514182.0,52.9,82248234.5,25.2,64791811.5,5.1
2850000,High,62000290.0,130514182.0,52.5,82248234.5,24.6,64791811.5,4.3
2870000,High,61548866.5,130514182.0,52.8,82248234.5,25.2,64791811.5,5.0
2890000,High,61548866.5,130514182.0,52.8,82248234.5,25.2,64791811.5,5.0
